station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance
东风公司,6:00,23:00,0.0,0.0,金银湖公园,6:00,23:00,0.0,0.0,东风公司,6:30,23:00,0.0,0.0,金银湖公园,6:30,23:00,0.0,0.0
车城东路,6:02,23:02,1.296999999999997,1.296999999999997,金银湖,6:03,23:03,2.391,2.391,车城东路,6:32,23:02,1.296999999999997,1.296999999999997,金银湖,6:33,23:03,2.391,2.391
江城大道,6:05,23:05,2.2790000000000106,3.5760000000000076,园博园北,6:06,23:06,1.7480000000000002,4.139,江城大道,6:35,23:05,2.2790000000000106,3.5760000000000076,园博园北,6:36,23:06,1.7480000000000002,4.139
老关村,6:00,23:09,2.8049999999999997,6.381,轻工大学,6:08,23:08,1.202,5.341,老关村,6:30,23:09,2.8049999999999997,6.381,轻工大学,6:38,23:08,1.202,5.341
国博中心南,6:02,23:12,1.8260000000000005,8.207,常青花园,6:00,23:10,0.9610000000000003,6.302,国博中心南,6:32,23:12,1.8260000000000005,8.207,常青花园,6:40,23:10,0.9610000000000003,6.302
国博中心北,6:04,23:14,0.7560000000000002,8.963000000000001,杨汊湖,6:03,23:13,2.110000000000001,8.412,国博中心北,6:34,23:14,0.7560000000000002,8.963000000000001,杨汊湖,6:30,23:13,2.110000000000001,8.412
前进村,6:00,23:17,1.5249999999999986,10.488,石桥,6:05,23:15,0.8439999999999976,9.256,前进村,6:37,23:17,1.5249999999999986,10.488,石桥,6:32,23:15,0.8439999999999976,9.256
建港,6:02,23:19,0.9529999999999959,11.440999999999995,唐家墩,6:07,23:18,1.4770000000000003,10.733,建港,6:30,23:19,0.9529999999999959,11.440999999999995,唐家墩,6:34,23:18,1.4770000000000003,10.733
马鹦路,6:04,23:21,1.4780000000000015,12.919000000000004,三眼桥,6:00,23:20,0.9529999999999994,11.686,马鹦路,6:32,23:21,1.4780000000000015,12.919000000000004,三眼桥,6:36,23:20,0.9529999999999994,11.686
钟家村,6:00,23:24,1.2819999999999965,14.201,香港路,6:02,23:22,1.024000000000001,12.71,钟家村,6:35,23:24,1.2819999999999965,14.201,香港路,6:39,23:22,1.024000000000001,12.71
琴台,6:02,23:26,0.9329999999999998,15.134,苗栗路,6:04,23:24,0.8639999999999972,13.574,琴台,6:30,23:26,0.9329999999999998,15.134,苗栗路,6:41,23:24,0.8639999999999972,13.574
武胜路,6:05,23:30,1.8569999999999993,16.991,大智路,6:06,23:27,0.8039999999999985,14.378,武胜路,6:33,23:30,1.8569999999999993,16.991,大智路,6:30,23:27,0.8039999999999985,14.378
汉正街,6:00,23:32,0.7620000000000005,17.753,江汉路,6:00,23:30,1.5529999999999973,15.931,汉正街,6:35,23:32,0.7620000000000005,17.753,江汉路,6:33,23:30,1.5529999999999973,15.931
六渡桥,6:02,23:34,0.9769999999999968,18.729999999999997,六渡桥,6:02,23:32,0.8510000000000026,16.782,六渡桥,6:37,23:34,0.9769999999999968,18.729999999999997,六渡桥,6:35,23:32,0.8510000000000026,16.782
江汉路,6:04,23:36,0.8510000000000026,19.581,汉正街,6:04,23:34,0.9769999999999968,17.759,江汉路,6:30,23:36,0.8510000000000026,19.581,汉正街,6:37,23:34,0.9769999999999968,17.759
大智路,6:07,23:39,1.5529999999999973,21.134,武胜路,6:06,23:36,0.7620000000000005,18.521,大智路,6:33,23:39,1.5529999999999973,21.134,武胜路,6:30,23:36,0.7620000000000005,18.521
苗栗路,6:09,23:41,0.8039999999999985,21.938,琴台,6:00,23:40,1.8569999999999993,20.378,苗栗路,6:35,23:41,0.8039999999999985,21.938,琴台,6:33,23:40,1.8569999999999993,20.378
香港路,6:00,23:44,0.8639999999999972,22.802,钟家村,6:02,23:42,0.9329999999999998,21.311,香港路,6:30,23:44,0.8639999999999972,22.802,钟家村,6:35,23:42,0.9329999999999998,21.311
三眼桥,6:02,23:46,1.024000000000001,23.826,马鹦路,6:04,23:44,1.2819999999999965,22.593,三眼桥,6:32,23:46,1.024000000000001,23.826,马鹦路,6:38,23:44,1.2819999999999965,22.593
