distance,price,route,begin_id,end_id,time
0,0,0,1,1,0
3.41,2,0a1,1,2,4
4.53,3,0a2,1,3,6
5.555,3,0a3,1,4,8
6.72,3,0a4,1,5,11
8.157,4,0a5,1,6,13
9.682,4,0a6,1,7,16
10.477,4,0a7,1,8,18
11.392,4,0a8,1,9,20
12.595,5,0a9,1,10,22
13.75,5,0a10,1,11,25
14.76,5,0a11,1,12,27
15.843,5,0a12,1,13,30
16.829,5,0a13,1,14,32
17.717,5,0a14,1,15,34
18.597,6,0a15,1,16,36
19.739,6,0a16,1,17,38
20.784,6,0a17,1,18,40
22.364,6,0a18,1,19,43
23.285,6,0a19,1,20,45
24.105,7,0a20,1,21,47
24.9,7,0a21,1,22,49
25.807,7,0a22,1,23,51
27.325,7,0a23,1,24,53
28.76,7,0a24,1,25,56
29.567,7,0a25,1,26,58
30.511,7,0a26,1,27,60
32.166,8,0a27,1,28,62
33.818,8,0a28,1,29,65
34.855,8,0a29,1,30,67
36.826,8,0a30,1,31,70
37.936,8,0a31,1,32,72
45.126,9,0a9g160f51b32,1,33,72
44.105,9,0a9g160f51b33,1,34,72
42.106,9,0a9g160f51b34,1,35,70
40.503,9,0a9g160f51b35,1,36,67
38.465,8,0a9g160f51b36,1,37,65
37.406,8,0a9g160f51b37,1,38,62
35.919,8,0a9g160f51b38,1,39,60
34.551,8,0a9g160f51b39,1,40,58
33.734,8,0a9g160f51b40,1,41,56
32.725,8,0a9g160f51b41,1,42,53
31.931,7,0a9g160f51b42,1,43,51
30.614,7,0a9g160f51b43,1,44,49
29.172,7,0a9g160f51b44,1,45,47
27.559,7,0a9g160f51b45,1,46,45
26.608,7,0a9g160f51b46,1,47,43
25.37,7,0a9g160f51b47,1,48,40
23.952,6,0a9g160f51b48,1,49,38
22.986,6,0a9g160f51b49,1,50,36
21.818,6,0a9g160f51b50,1,51,34
20.888,6,0a9g160f51,1,52,32
19.605,6,0a11e53b52,1,53,32
16.313,5,0a11e53,1,54,30
17.386,5,0a12b54,1,55,32
18.332,6,0a12b55,1,56,34
18.218,6,0a10f56,1,57,32
18.204,6,0a10f76c57,1,58,32
19.42,6,0a10f76c57b58,1,59,34
20.827,6,0a10f76c57b59,1,60,36
22.004,6,0a10f76e60,1,61,38
23.096,6,0a10f76e60b61,1,62,40
23.406,6,0a9g63b62,1,63,36
20.52,6,0a9g63,1,64,34
24.466,7,0a9g63b64,1,65,36
26.109,7,0a9g63b65,1,66,38
28.148,7,0a9g63b66,1,67,40
29.575,7,0a9g63b67,1,68,43
35.579,8,0a9g63b68,1,69,45
19.756,6,0a9g74c69,1,70,36
18.089,6,0a9g74c70,1,71,34
16.908,5,0a9g74c71,1,72,32
15.655,5,0a9g74c72,1,73,30
14.896,5,0a9g74c73,1,74,27
14.014,5,0a9g74,1,75,25
