terminalcode,terminalname
0,汉口北
1,滠口新城
2,藤子岗
3,堤角
4,新荣
5,丹水池
6,徐洲新村
7,二七路
8,头道街
9,黄浦路
10,三阳路
11,大智路
12,循礼门
13,友谊路
14,利济北路
15,崇仁路
16,硚口路
17,太平洋
18,宗关
19,汉西一路
20,古田四路
21,古田三路
22,古田二路
23,古田一路
24,舵落口
25,竹叶海
26,额头湾
27,五环大道
28,东吴大道
29,码头潭公园
30,三店
31,径河
32,佛祖岭
33,藏龙东街
34,秀湖
35,金融港北
36,黄龙山路
37,光谷火车站
38,佳园路
39,光谷大道
40,华中科技大学
41,珞雄路
42,光谷广场
43,杨家湾
44,虎泉
45,广埠屯
46,街道口
47,宝通寺
48,中南路
49,洪山广场
50,小龟山
51,螃蟹岬
52,积玉桥
53,江汉路
54,中山公园
55,青年路
56,王家墩东
57,范湖
58,汉口火车站
59,长港路
60,常青花园
61,金银潭
62,常青城
63,宏图大道
64,盘龙城
65,巨龙大道
66,宋家岗
67,航空总部
68,天河机场
69,市民之家
70,后湖大道
71,兴业路
72,二七小路
73,罗家庄
74,赵家条
75,惠济二路
76,香港路
77,菱角湖路
78,云飞路
79,武汉商务区
80,双墩
81,王家湾
82,龙阳村
83,陶家岭
84,四新大道
85,汉阳客运站
86,三角湖
87,体育中心
88,东风公司
89,沌阳大道
90,武汉火车站
91,杨春湖
92,工业四路
93,仁和路
94,园林路
95,罗家港
96,铁机路
97,岳家嘴
98,东亭
99,青鱼嘴
100,楚河汉街
101,梅苑小区
102,武昌火车站
103,首义路
104,复兴路
105,拦江路
106,钟家村
107,汉阳火车站
108,五里墩
109,七里庙
110,十里铺
111,玉龙路
112,永安堂
113,孟家铺
114,黄金口
115,新天
116,集贤
117,知音
118,新农
119,凤凰路
120,蔡甸广场
121,临嶂大道
122,新庙村
123,柏林
124,车城东路
125,江城大道
126,老关村
127,国博中心南
128,国博中心北
129,前进村
130,建港
131,马鹦路
132,琴台
133,武胜路
134,汉正街
135,六渡桥
136,苗栗路
137,三眼桥
138,唐家墩
139,石桥
140,杨汊湖
141,轻工大学
142,园博园北
143,金银湖
144,金银湖公园
145,青龙山地铁小镇
146,纸坊大街
147,北华街
148,谭鑫培公园
149,江夏客厅
150,大花岭
151,新路村
152,野芷湖
153,板桥
154,湖工大
155,建安街
156,瑞安街
157,小东门
158,新河街
159,湖北大学
160,徐家棚
161,取水楼
162,常码头
163,园博园
164,梨园
165,汪家墩
166,徐东
167,竹叶山
168,中一路
169,塔子湖
170,金潭路
171,左岭
172,未来三路
173,未来一路
174,长岭山
175,光谷七路
176,豹澥
177,光谷六路
178,光谷五路
179,光谷四路
180,光谷生物园
181,光谷同济医院
182,湖口
183,金台
184,施岗
185,阳逻开发区
186,阳逻
187,武生院
188,军民村
189,沙口
190,武湖
191,高车
192,青龙
193,谌家矶
194,朱家河
195,幸福湾
196,新荣客运站
197,百步亭花园路
