startcode,startname,endcode,endname,distance,route,sitenum,price
0,汉口北,0,汉口北,0,0,0,0
0,汉口北,1,滠口新城,3.41,0a1,1,2
0,汉口北,2,藤子岗,4.53,0a1a2,2,3
0,汉口北,3,堤角,5.555,0a1a2a3,3,3
0,汉口北,4,新荣,6.72,0a1a2a3a4,4,3
0,汉口北,5,丹水池,8.157,0a1a2a3a4a5,5,4
0,汉口北,6,徐洲新村,9.682,0a1a2a3a4a5a6,6,4
0,汉口北,7,二七路,10.477,0a1a2a3a4a5a6a7,7,4
0,汉口北,8,头道街,11.392,0a1a2a3a4a5a6a7a8,8,4
0,汉口北,9,黄浦路,12.595,0a1a2a3a4a5a6a7a8a9,9,5
0,汉口北,10,三阳路,13.75,0a1a2a3a4a5a6a7a8a9a10,10,5
0,汉口北,11,大智路,14.76,0a1a2a3a4a5a6a7a8a9a10a11,11,5
0,汉口北,12,循礼门,15.843,0a1a2a3a4a5a6a7a8a9a10a11a12,12,5
0,汉口北,13,友谊路,16.829,0a1a2a3a4a5a6a7a8a9a10a11a12a13,13,5
0,汉口北,14,利济北路,17.717,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14,14,5
0,汉口北,15,崇仁路,18.597,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15,15,6
0,汉口北,16,硚口路,19.739,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16,16,6
0,汉口北,17,太平洋,20.784,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17,17,6
0,汉口北,18,宗关,22.364,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18,18,6
0,汉口北,19,汉西一路,23.285,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19,19,6
0,汉口北,20,古田四路,24.105,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20,20,7
0,汉口北,21,古田三路,24.9,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21,21,7
0,汉口北,22,古田二路,25.807,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21a22,22,7
0,汉口北,23,古田一路,27.325,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21a22a23,23,7
0,汉口北,24,舵落口,28.76,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21a22a23a24,24,7
0,汉口北,25,竹叶海,29.567,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21a22a23a24a25,25,7
0,汉口北,26,额头湾,30.511,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21a22a23a24a25a26,26,7
0,汉口北,27,五环大道,32.166,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21a22a23a24a25a26a27,27,8
0,汉口北,28,东吴大道,33.818,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21a22a23a24a25a26a27a28,28,8
0,汉口北,29,码头潭公园,34.855,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21a22a23a24a25a26a27a28a29,29,8
0,汉口北,30,三店,36.826,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21a22a23a24a25a26a27a28a29a30,30,8
0,汉口北,31,径河,37.936,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21a22a23a24a25a26a27a28a29a30a31,31,8
0,汉口北,32,佛祖岭,45.126,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37b36b35b34b33b32,32,9
0,汉口北,33,藏龙东街,44.105,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37b36b35b34b33,31,9
0,汉口北,34,秀湖,42.106,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37b36b35b34,30,9
0,汉口北,35,金融港北,40.503,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37b36b35,29,9
0,汉口北,36,黄龙山路,38.465,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37b36,28,8
0,汉口北,37,光谷火车站,37.406,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37,27,8
0,汉口北,38,佳园路,35.919,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38,26,8
0,汉口北,39,光谷大道,34.551,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39,25,8
0,汉口北,40,华中科技大学,33.734,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40,24,8
0,汉口北,41,珞雄路,32.725,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41,23,8
0,汉口北,42,光谷广场,31.931,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42,22,7
0,汉口北,43,杨家湾,30.614,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43,21,7
0,汉口北,44,虎泉,29.172,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44,20,7
0,汉口北,45,广埠屯,27.559,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45,19,7
0,汉口北,46,街道口,26.608,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46,18,7
