station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance
宏图大道,6:00,23:00,0.0,0.0,沌阳大道,6:00,23:00,0.0,0.0,宏图大道,6:30,23:00,0.0,0.0,沌阳大道,6:30,23:00,0.0,0.0
市民之家,6:03,23:03,2.421999999999997,2.421999999999997,东风公司,6:02,23:02,1.449,1.449,市民之家,6:33,23:03,2.421999999999997,2.421999999999997,东风公司,6:32,23:02,1.449,1.449
后湖大道,6:06,23:06,1.6669999999999945,4.088999999999999,体育中心,6:04,23:04,0.8420000000000001,2.291,后湖大道,6:36,23:06,1.6669999999999945,4.088999999999999,体育中心,6:34,23:04,0.8420000000000001,2.291
兴业路,6:00,23:08,1.1809999999999974,5.269999999999996,三角湖,6:07,23:07,1.4539999999999997,3.745,兴业路,6:38,23:08,1.1809999999999974,5.269999999999996,三角湖,6:36,23:07,1.4539999999999997,3.745
二七小路,6:02,23:10,1.2530000000000001,6.522999999999996,汉阳客运站,6:00,23:09,1.5630000000000006,5.308,二七小路,6:30,23:10,1.2530000000000001,6.522999999999996,汉阳客运站,6:39,23:09,1.5630000000000006,5.308
罗家庄,6:04,23:12,0.7590000000000003,7.2819999999999965,四新大道,6:02,23:11,0.9280000000000008,6.236,罗家庄,6:31,23:12,0.7590000000000003,7.2819999999999965,四新大道,6:30,23:11,0.9280000000000008,6.236
赵家条,6:06,23:14,0.8819999999999979,8.164000000000001,陶家岭,6:04,23:13,1.359,7.595,赵家条,6:33,23:14,0.8819999999999979,8.164000000000001,陶家岭,6:32,23:13,1.359,7.595
惠济二路,6:08,23:16,0.8960000000000008,9.060000000000002,龙阳村,6:06,23:15,0.9060000000000006,8.501,惠济二路,6:35,23:16,0.8960000000000008,9.060000000000002,龙阳村,6:34,23:15,0.9060000000000006,8.501
香港路,6:00,23:18,0.9340000000000046,9.994,王家湾,6:08,23:18,1.1070000000000029,9.608,香港路,6:37,23:18,0.9340000000000046,9.994,王家湾,6:36,23:18,1.1070000000000029,9.608
菱角湖路,6:02,23:21,0.9320000000000022,10.926000000000002,宗关,6:00,23:22,2.530999999999999,12.139,菱角湖路,6:40,23:21,0.9320000000000022,10.926000000000002,宗关,6:41,23:22,2.530999999999999,12.139
范湖,6:05,23:24,1.676000000000002,12.602000000000004,双墩,6:02,23:24,0.9819999999999993,13.121,范湖,6:30,23:24,1.676000000000002,12.602000000000004,双墩,6:30,23:24,0.9819999999999993,13.121
云飞路,6:00,23:26,0.884999999999998,13.487000000000002,武汉商务区,6:04,23:27,1.8249999999999993,14.946,云飞路,6:31,23:26,0.884999999999998,13.487000000000002,武汉商务区,6:32,23:27,1.8249999999999993,14.946
武汉商务区,6:02,23:28,1.2270000000000003,14.714000000000002,云飞路,6:07,23:29,1.2270000000000003,16.173,武汉商务区,6:34,23:28,1.2270000000000003,14.714000000000002,云飞路,6:35,23:29,1.2270000000000003,16.173
双墩,6:05,23:31,1.8249999999999993,16.538999999999998,范湖,6:09,23:31,0.884999999999998,17.058,双墩,6:37,23:31,1.8249999999999993,16.538999999999998,范湖,6:37,23:31,0.884999999999998,17.058
宗关,6:00,23:33,0.9819999999999993,17.521,菱角湖路,6:11,23:34,1.676000000000002,18.734,宗关,6:30,23:33,0.9819999999999993,17.521,菱角湖路,6:30,23:34,1.676000000000002,18.734
王家湾,6:04,23:37,2.530999999999999,20.052,香港路,6:00,23:36,0.9320000000000022,19.666,王家湾,6:34,23:37,2.530999999999999,20.052,香港路,6:32,23:36,0.9320000000000022,19.666
龙阳村,6:06,23:40,1.1070000000000029,21.159000000000002,惠济二路,6:02,23:38,0.9340000000000046,20.6,龙阳村,6:36,23:40,1.1070000000000029,21.159000000000002,惠济二路,6:34,23:38,0.9340000000000046,20.6
陶家岭,6:00,23:42,0.9060000000000006,22.065000000000005,赵家条,6:04,23:41,0.8960000000000008,21.496,陶家岭,6:38,23:42,0.9060000000000006,22.065000000000005,赵家条,6:36,23:41,0.8960000000000008,21.496
四新大道,6:02,23:44,1.359,23.424,罗家庄,6:06,23:42,0.8819999999999979,22.378,四新大道,6:40,23:44,1.359,23.424,罗家庄,6:38,23:42,0.8819999999999979,22.378
汉阳客运站,6:04,23:46,0.9280000000000008,24.352000000000004,二七小路,6:08,23:44,0.7590000000000003,23.137,汉阳客运站,6:30,23:46,0.9280000000000008,24.352000000000004,二七小路,6:40,23:44,0.7590000000000003,23.137
三角湖,6:00,23:48,1.5630000000000006,25.915,兴业路,6:10,23:47,1.2530000000000001,24.39,三角湖,6:32,23:48,1.5630000000000006,25.915,兴业路,6:30,23:47,1.2530000000000001,24.39
体育中心,6:02,23:51,1.4539999999999997,27.369,后湖大道,6:00,23:49,1.1809999999999974,25.571,体育中心,6:35,23:51,1.4539999999999997,27.369,后湖大道,6:32,23:49,1.1809999999999974,25.571
东风公司,6:04,23:53,0.8420000000000001,28.211000000000002,市民之家,6:02,23:52,1.6669999999999945,27.238,东风公司,6:37,23:53,0.8420000000000001,28.211000000000002,市民之家,6:35,23:52,1.6669999999999945,27.238
沌阳大道,——,23:55,1.449,29.66,宏图大道,——,23:55,2.421999999999997,29.66,沌阳大道,——,23:55（到达）,1.449,29.66,宏图大道,——,23:55,2.421999999999997,29.66
